time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2016-05-19 14:04:05.365 UTC, ,125,3157213,696,11360, , ,3, , , , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,947,1,370,370,1, ,2,4, , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , ,2,244,2,2,2, , ,3,3, , , , , , , ,38,1, , ,2048,1,955,2, , , , , , ,4,22,12980320,-1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:05:05.373 UTC, ,4109,3167333,928,17384,112, ,4, ,1955, , , , , , , , , ,4,4, , , ,1,2,6, ,908, , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , ,1,35,131,178,37365280,-1, , , , , , ,8011, , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , ,65, ,900, , , , , , , , , ,900, , ,900, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:06:05.380 UTC, ,6309,3169533,928,17384,112, ,4, ,1141, , , , , , , , , ,4,4, , , ,1,2,6, ,505, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,156,234,56138328,-1, , , , , , ,4405, , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , ,63, ,500, , , , , , , , , ,500, , ,500, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:07:05.381 UTC, ,7629,3170853,928,17384,112, ,4, ,731, , , , , , , , , ,4,4, , , ,1,2,6, ,303, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , ,1,38,147,267,36568808,-1, , , , , , ,2503, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,61, ,300, , , , , , , , , ,300, , ,300, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:08:05.386 UTC, ,8949,3172253,928,17384,192, ,4, ,726, , , , , , , , , ,4,4, , , ,1,2,6, ,303, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,120,351,38193040,-1, , , , , , ,2307, , , ,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , ,59, ,300, , , , , , , , , ,300, , ,300, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:09:05.388 UTC, ,9829,3173053,928,17384,112, ,4, ,529, , , , , , , , , ,4,4, , , ,1,2,6, ,202, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,112,310,46558400,-1, , , , , , ,1698, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,61, ,200, , , , , , , , , ,200, , ,200, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:10:05.389 UTC, ,10709,3173933,928,17384,112, ,4, ,526, , , , , , , , , ,4,4, , , ,1,2,6, ,202, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,109,290,75587600,-1, , , , , , ,1602, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,60, ,200, , , , , , , , , ,200, , ,200, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:11:05.395 UTC, ,11589,3174813,928,17384,112, ,4, ,528, , , , , , , , , ,4,4, , , ,1,2,6, ,202, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,104,249,63276472,-1, , , , , , ,2102, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,61, ,200, , , , , , , , , ,200, , ,200, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:12:05.396 UTC, ,12469,3175693,928,17384,112, ,4, ,526, , , , , , , , , ,4,4, , , ,1,2,6, ,202, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , ,1,137,97,302,44846528,-1, , , , , , ,1802, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,60, ,200, , , , , , , , , ,200, , ,200, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:13:05.398 UTC, ,13349,3176573,928,17384,112, ,4, ,526, , , , , , , , , ,4,4, , , ,1,2,6, ,202, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,99,324,76807056,-1, , , , , , ,2002, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,60, ,200, , , , , , , , , ,200, , ,200, , , , , , , , , , , , , , , , , , , , , 
