time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2016-05-19 13:56:07.761 UTC, ,125,3157213,696,11360, , ,3, , , , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,947,1,370,370,1, ,2,4, , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666167245,3145728, , , , ,2,260,2,2,2, , ,3,3, , , , , , , ,38,1, , ,2048,1,955,2, , , , , , ,4,122,57471264,-1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-05-19 13:57:07.763 UTC, ,3669,3166893,928,17384,112, ,4, ,1747, , , , , , , , , ,4,4, , , ,1,2,6, ,807, , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666167245,3145728, , , , ,17,2077,17,2,17, , ,3,17, , , , , , , , , , , ,4096,2,87378,17, , , , ,1,34,31,95,57029440,-1, , , , , , ,7011,1, , ,1, ,7, , , , , , , , , , , , , , , , , , , , , , , , ,62, ,800, , , , , , , , , ,800, , ,800, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 13:58:07.769 UTC, ,4989,3168213,928,17384,112, ,4, ,734, , , , , , , , , ,4,4, , , ,1,2,6, ,304, , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666167245,3145728, , , , ,6,648,6, ,6, , ,3,6, , , , , , , , , , , , , ,33750,6, , , , , , ,155,298,88641912,-1, , , , , , ,2606,2, , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , ,61, ,300, , , , , , , , , ,300, , ,300, , , , , , , , , , , , , , , , , , , , , 
2016-05-22 19:58:03.309 UTC, ,125,3212325,928,66472,80, ,22, ,5244,4,0.00, , , , , , , ,22,4, ,2603, ,21,20,5, ,2622,4, , , , , , , , , , , , , ,202597,2,192149,192149,1,1,9,13, , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463947082311,3145728, , , ,12,1,89,1,4,1, , ,3,2, , , ,12, ,2048,1, , , , ,1357824,177,58028,1, , , , , , ,5,34,33112144,-1, , , , , , ,2688, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-05-23 12:09:27.760 UTC, ,125,3157853,928,12000, , ,3, ,16,3,0.19, , , , , , , ,3,3, ,2, ,2,1,5, ,12,4, , , , , , , , , , , , , ,202597,2, ,192149, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464005366039,3145728, , , ,12, , , ,2, , , ,3, , , , ,12, ,2048,1, , , , ,362496,54, , , , , , , , ,5,22,20595408,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-05-23 12:10:27.763 UTC, ,4109,3167197,928,17248,112, ,4,1,2371,19,0.01, , , , , , , ,4,4, , ,1,3,2,5, ,1012,1, , , , , , , , , , , , , ,202597,2, ,192149, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464005366039,3145728, , , ,22, , , ,1, , , ,3, , , , ,22,1, , , , , ,1,49368,24, , , , , , ,1,38,154,233,39301856,-1, , , , , , ,9716, , , ,1, ,25, , , , , , , , , , , , , , , , , , , , , , , , ,64, ,1000, , , , , , , , , ,1000, , ,1000, , , , , , , , , , , , , , , , , , , , , 
2016-05-23 12:11:27.766 UTC, ,6309,3169397,928,17248,112, ,4, ,1144, , , , , , , , , ,4,4, , , ,3,2,5, ,506, , , , , , , , , , , , , , ,202597,2, ,192149, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464005366039,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,119,173,48031136,-1, , , , , , ,4406, , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , ,63, ,500, , , , , , , , , ,500, , ,500, , , , , , , , , , , , , , , , , , , , , 
2016-05-23 12:12:27.768 UTC, ,8069,3171157,928,17248,112, ,4, ,931, , , , , , , , , ,4,4, , , ,3,2,5, ,403, , , , , , , , , , , , , , ,202597,2, ,192149, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464005366039,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , ,1,43,110,205,45753704,-1, , , , , , ,3403, , , ,1, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,61, ,400, , , , , , , , , ,400, , ,400, , , , , , , , , , , , , , , , , , , , , 
2016-05-23 12:13:27.770 UTC, ,8949,3172037,928,17248,112, ,4, ,531, , , , , , , , , ,4,4, , , ,3,2,5, ,203, , , , , , , , , , , , , , ,202597,2, ,192149, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464005366039,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,96,201,60810112,-1, , , , , , ,2103, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,61, ,200, , , , , , , , , ,200, , ,200, , , , , , , , , , , , , , , , , , , , , 
2016-05-23 12:14:27.776 UTC, ,9829,3172917,928,17248,112, ,4, ,528, , , , , , , , , ,4,4, , , ,3,2,5, ,202, , , , , , , , , , , , , , ,202597,2, ,192149, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464005366039,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,95,191,59896424,-1, , , , , , ,1602, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,61, ,200, , , , , , , , , ,200, , ,200, , , , , , , , , , , , , , , , , , , , , 
